Temp,Time [d],Volume fraction of AL2CU_C16 (Bulk),Mean radius of AL2CU_C16 (Bulk) [m]
120,0.02733,7.79951E-19,2.64544E-10
120,0.02998,1.33216E-17,2.64708E-10
120,0.03097,3.86992E-17,2.64869E-10
120,0.03209,1.21034E-16,2.64928E-10
120,0.03329,3.78748E-16,2.64937E-10
120,0.03458,1.18636E-15,2.64963E-10
120,0.03597,3.7165E-15,2.64989E-10
120,0.03747,1.16376E-14,2.64978E-10
120,0.03909,3.64412E-14,2.65008E-10
120,0.04086,1.1409E-13,2.65043E-10
120,0.04279,3.57079E-13,2.65074E-10
120,0.04489,1.11739E-12,2.65124E-10
120,0.04721,3.49574E-12,2.65183E-10
120,0.04977,1.09335E-11,2.6525E-10
120,0.05242,3.19016E-11,2.65348E-10
120,0.05507,8.43694E-11,2.65472E-10
120,0.05773,2.04952E-10,2.65621E-10
120,0.06038,4.62298E-10,2.6577E-10
120,0.06303,9.77448E-10,2.65951E-10
120,0.06569,1.95184E-09,2.66145E-10
120,0.06834,3.70504E-09,2.66325E-10
120,0.07099,6.72241E-09,2.66513E-10
120,0.07364,1.17137E-08,2.66687E-10
120,0.07630,1.96849E-08,2.66878E-10
120,0.07895,3.20117E-08,2.67033E-10
120,0.08160,5.05468E-08,2.67232E-10
120,0.08425,7.77093E-08,2.67438E-10
120,0.08690,1.16596E-07,2.67653E-10
120,0.08955,1.71094E-07,2.67876E-10
120,0.09221,2.45997E-07,2.6811E-10
120,0.09486,3.4717E-07,2.68373E-10
120,0.09750,4.81628E-07,2.68647E-10
120,0.10015,6.57582E-07,2.68909E-10
120,0.10280,8.84684E-07,2.69179E-10
120,0.10545,1.17413E-06,2.69455E-10
120,0.10810,1.53842E-06,2.69719E-10
120,0.11074,1.9921E-06,2.70002E-10
120,0.11339,2.55123E-06,2.70261E-10
120,0.11603,3.23394E-06,2.70557E-10
120,0.12131,5.05292E-06,2.71179E-10
120,0.12659,7.63487E-06,2.71868E-10
120,0.13187,0.00001,2.72561E-10
120,0.13713,0.00002,2.73278E-10
120,0.14239,0.00002,2.7401E-10
120,0.14764,0.00003,2.74765E-10
120,0.15289,0.00004,2.75583E-10
120,0.15812,0.00005,2.76468E-10
